"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  170  avg =  77.341"
"response","count","percent_responded"
"100","106","62.35"
"0","17","10"
"50","9","5.29"
"80","3","1.76"
"95","3","1.76"
"25","2","1.18"
"5","2","1.18"
"90","2","1.18"
"94","2","1.18"
"10","1","0.59"
"13","1","0.59"
"19","1","0.59"
"2","1","0.59"
"20","1","0.59"
"3","1","0.59"
"30","1","0.59"
"32","1","0.59"
"35","1","0.59"
"40","1","0.59"
"45","1","0.59"
"51","1","0.59"
"52","1","0.59"
"53","1","0.59"
"54","1","0.59"
"6","1","0.59"
"60","1","0.59"
"70","1","0.59"
"75","1","0.59"
"85","1","0.59"
"96","1","0.59"
"97","1","0.59"
"98","1","0.59"
"99","1","0.59"
