"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  279"
"response","count","percent_responded"
"Different effects of different cannabinoids","214","76.7"
"Medical value of cannabis","164","58.78"
"Cultivation and extraction","126","45.16"
"Cannabis genetics","108","38.71"
"Cannabis and pharmaceutical drug interactions","106","37.99"
"Side effects of cannabis","76","27.24"
"Other (please specify)","18","6.45"
"Other (please list below)","11","3.94"
