"q67","Which VA do you go to?","n =  31"
"response","count","percent_responded"
"Providence","5","16.13"
"none","2","6.45"
"Providence ","2","6.45"
"Providence RI","2","6.45"
"Boston ","1","3.23"
"boston area","1","3.23"
"boston campus","1","3.23"
"Brockton, J.P. , W. Roxbury","1","3.23"
"Brockton, JP , west roxbury","1","3.23"
"Brockton, Ma","1","3.23"
"Captain James A. Federal Health Care Center, North Chicago VA, IL","1","3.23"
"Hyannis","1","3.23"
"Hyannis CBOC","1","3.23"
"I'm currently in using a VA","1","3.23"
"i don't","1","3.23"
"I don't ","1","3.23"
"Mountain Home TN","1","3.23"
"n/a","1","3.23"
"N/A","1","3.23"
"Na","1","3.23"
"New Bedford and Providence ","1","3.23"
"Prefer not to answer","1","3.23"
"Providence RI ","1","3.23"
"RI","1","3.23"
