"q41","What features are missing from your sources of information that you would like to see included?","n =  624"
"response","count","percent_responded"
"None","61","9.78"
"none","27","4.33"
"N/A","19","3.04"
"Not sure","18","2.88"
"n/a","17","2.72"
"N/a","13","2.08"
"not sure","10","1.6"
"Nothing","10","1.6"
"nothing","9","1.44"
"na","7","1.12"
"Na","6","0.96"
"Not sure ","6","0.96"
"Nothing ","6","0.96"
"None ","4","0.64"
"unsure","3","0.48"
"Unsure","3","0.48"
"idk","2","0.32"
"Idk","2","0.32"
"Menus","2","0.32"
"None I can think of","2","0.32"
"None.","2","0.32"
"Pictures","2","0.32"
"Price","2","0.32"
"prices","2","0.32"
"Regular updates sometime","2","0.32"
"terpene profiles","2","0.32"
"360 product pics","1","0.16"
"A better way to i.d. strains than common names used.","1","0.16"
"a list of symptoms or diseases strains are helpful for","1","0.16"
"a lot of people are unaware of the extra $50 app fee(can be waved with Mass Health). They also don't realize that medical marijuana isn't taxed.","1","0.16"
"A medical card","1","0.16"
"A more accurate understanding of the trace cannabinoids in the products available.","1","0.16"
"a site that provides accurate up to the minute state status on all the states and what is legal and what is not. States change things all the time, and looking for real time.  Ohio just changed their Hemp CBD law - I was clueless, and I am a Practitioner!","1","0.16"
"Accept other payment forms ","1","0.16"
"Accuracy","1","0.16"
"accuracy with strain information","1","0.16"
"Accurate genetics","1","0.16"
"Accurate in stock items","1","0.16"
"Accurate percentage ","1","0.16"
"Accurate percentages","1","0.16"
"Accurate percentages of more cannabinoids ","1","0.16"
"Accurate product testing, plant genetics/lineage/strain history","1","0.16"
"adverse effect information","1","0.16"
"all discounts in one place","1","0.16"
"All dispensary tests results should include terpene profile. Period!","1","0.16"
"All good","1","0.16"
"Although most sites have a recommended dose for an ailment I would like to see more sites tell people to start with a low dose, 1mg. and slowly go up as symptoms inprove.","1","0.16"
"Always indica sariva percentage","1","0.16"
"Any of dr Sulak’s resources are amazing ","1","0.16"
"Anything new","1","0.16"
"As","1","0.16"
"assistance in obtaining mmj card","1","0.16"
"avaiability","1","0.16"
"Availability","1","0.16"
"Availability of products","1","0.16"
"Average price","1","0.16"
"avg cost","1","0.16"
"beginner info","1","0.16"
"Best sources","1","0.16"
"Better care for disabled and veterans who are low income","1","0.16"
"Better information about states other than CA, OR, WA, AZ, CO","1","0.16"
"Better menus ","1","0.16"
"Better quality","1","0.16"
"Better reporting of cannabinoids and terpenes levels. Date of harvest and where grown","1","0.16"
"better strain genetics, average testing % and deeper info","1","0.16"
"Better user based feedback.","1","0.16"
"books","1","0.16"
"Breakdown Comparison of one strain to another ","1","0.16"
"Bud history","1","0.16"
"Caffeine on edibles ","1","0.16"
"can't think of any","1","0.16"
"Can't think of anything","1","0.16"
"Can’t think of any","1","0.16"
"Can’t think of any ","1","0.16"
"Cannabinoid ranges and regional availability/hardiness statistics ","1","0.16"
"Cannabinoids, Terpenes","1","0.16"
"Cannabis as food/nutrition (not ""drug"", not ""medicine"")","1","0.16"
"Cannabis lessons. Teach the public how to roll joints, dab, grow, maintain glass/pieces","1","0.16"
"Cases of fraud and pesticides ","1","0.16"
"CBD related","1","0.16"
"CBD vs THC effects","1","0.16"
"Charts showing mg to dose equivalents","1","0.16"
"Cheaper, faster, more reliable testing.","1","0.16"
"Clear thc, cbd cannanoids,terpenes, heritage charts","1","0.16"
"clinical studies and more research","1","0.16"
"Coming soon products ","1","0.16"
"Complete breakdown of terpines in each strain. Specification of whether available strains are sun grown, organic, veganic or biodynamic. Also, whether pesticides are used in ANY ASPECT of the growing process of a particular strain. I am less interested in how lab tests come out. I'd rather have it not use pesticides at any phase in its growing process.","1","0.16"
"Conclusive clinical trial results","1","0.16"
"Consistency with scientific studies and analyses ","1","0.16"
"Content related directly to my market and region ","1","0.16"
"Cooking with cannabis","1","0.16"
"Cost","1","0.16"
"Costs","1","0.16"
"Costs and availability","1","0.16"
"Coupon","1","0.16"
"crossed strains","1","0.16"
"current information","1","0.16"
"Customer reviews","1","0.16"
"Daily deals","1","0.16"
"Data","1","0.16"
"Deals","1","0.16"
"Deals ","1","0.16"
"Delivery ","1","0.16"
"Delivery option for leafly","1","0.16"
"Descriptions on some strains","1","0.16"
"Details of strains effects ","1","0.16"
"Details on how to identify strains","1","0.16"
"Different strains genetics ","1","0.16"
"Dispensary ","1","0.16"
"Dispensary often doesn’t list breakdowns of ingredients on their websites so we can research at home before going to the dispensary.","1","0.16"
"Dispensary websites/menus do not always accurately reflect availability/inventory ","1","0.16"
"distinguishing physical features between strains and types ex indica vs sativa","1","0.16"
"do not know","1","0.16"
"dont know","1","0.16"
"Dosage and format information","1","0.16"
"Dosage information","1","0.16"
"dosing","1","0.16"
"dosing and best ways to get the most benefit","1","0.16"
"dosing/ edibles/tincture/ etc/specific conditions","1","0.16"
"Double blind studies and independent polls like this one.  Thanks!","1","0.16"
"Dry and Cure info","1","0.16"
"Each site has plus and minus.  Multiple sources are required to get a complete picture","1","0.16"
"Ease of finding strains. More medical info. ","1","0.16"
"Easier to find sources to back up claims","1","0.16"
"Easily digestible (couple of sentences) the describe a products high or impact on you.","1","0.16"
"Easy access to comparisons ","1","0.16"
"Effects of how other patients feels ","1","0.16"
"everything","1","0.16"
"Explanation of strains","1","0.16"
"Extensive discussion of the effects of each and every active ingredient; more information on the content of those ""lesser"" ingredients for each strain.","1","0.16"
"Fact based truth in the medical community ","1","0.16"
"Features on how to obtain genetics","1","0.16"
"First time I have heard about this.","1","0.16"
"Flavor","1","0.16"
"Free herb","1","0.16"
"Free Money","1","0.16"
"Full Genetic Linage ","1","0.16"
"full online terpene and cannabinoid profiles for all strains available for purchase","1","0.16"
"Getting my congressmen/women to vote on reform","1","0.16"
"Grow info and curing method if these are done well the strain science should hold true, if not, quaility assurance is gone.","1","0.16"
"Growing advice","1","0.16"
"Growing outdoors","1","0.16"
"growweedeasy.com has everything i need. ","1","0.16"
"hard to find the map of legal states","1","0.16"
"Head Shop locator","1","0.16"
"Helpful ways to afford ","1","0.16"
"How and how often","1","0.16"
"How long the high will last","1","0.16"
"how to enhance the healing effects of cannabis","1","0.16"
"How to identify different strains ","1","0.16"
"How to micro dose ","1","0.16"
"How to save the most money ","1","0.16"
"I'd like more objective information, not users' reviews. ","1","0.16"
"I'd like to see evidence of strain content consistency","1","0.16"
"I'd love to see a fuller chemical breakdown, more than just THC and CBD, but that's not even a big deal!","1","0.16"
"I'm not sure","1","0.16"
"I'm satisfied with the amount of features present","1","0.16"
"I'm very informed ","1","0.16"
