"q7","How does cannabis help your daily life? (Please select all that apply)","n =  101"
"response","count","percent_responded"
"Generally helps with quality of life","82","81.19"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","80","79.21"
"Helps with physical symptoms (e.g. body pains, function, sensation)","78","77.23"
"Helps to reduce use of other prior medicines (non-opiates)","62","61.39"
"Helps to avoid starting other medicines (including opiates)","54","53.47"
"Helps to reduce use of alcohol","37","36.63"
"Helps to reduce use of opiates","35","34.65"
"Helps to reduce us of tobacco","19","18.81"
"Other (please specify)","8","7.92"
