"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  170"
"response","count","percent_responded"
"Anxiety","151","88.82"
"Sleep","134","78.82"
"Depression","119","70"
"Pain","112","65.88"
"Inflammation","81","47.65"
"Headache","58","34.12"
"Nausea","56","32.94"
"Attention/concentration","47","27.65"
"Spasms","46","27.06"
"Appetite/weight","37","21.76"
"Aggression","32","18.82"
"Drug withdrawl","14","8.24"
"Other (please specify)","13","7.65"
"Mainia/psychosis","10","5.88"
"Skin conditions","10","5.88"
"Seizures","8","4.71"
"Respiratory","5","2.94"
"Ocular pressure","4","2.35"
