"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  105"
"response","count","percent_responded"
"Pain","58","55.24"
"Sleep/insomnia","58","55.24"
"Depression/mood","57","54.29"
"Anxiety/panic attacks","52","49.52"
"Aggression","32","30.48"
"Attention/concentration","26","24.76"
"Inflammation","24","22.86"
"Headache","23","21.9"
"Appetite/weight","21","20"
"Spasms","21","20"
"Nausea/vomiting","15","14.29"
"Other (please specify)","9","8.57"
"Ocular pressure","5","4.76"
"Mania/psychosis","3","2.86"
"Seizures","3","2.86"
"Skin conditions","3","2.86"
"Drug withdrawal","2","1.9"
"Respiratory","2","1.9"
