"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Chronic pain","62","72.94"
"Anxiety","56","65.88"
"Depression","55","64.71"
"Posttraumatic stress disorder (PTSD)","46","54.12"
"Arthritis","45","52.94"
"Insomnia","40","47.06"
"Gastrointestinal/digestive system disorders","28","32.94"
"Allergies","27","31.76"
"Hypertension","27","31.76"
"Obesity","25","29.41"
"Respiratory problems","20","23.53"
"Attention deficit/hyperactivity disorder (ADHD)","19","22.35"
"Other (please specify)","19","22.35"
"Reflux esophagitis","19","22.35"
"Diabetes","17","20"
"Cardiovascular disease","15","17.65"
"Fibromyalgia/myositis","14","16.47"
"Eczema","10","11.76"
"Cancer","8","9.41"
"Bipolar/manic depression","6","7.06"
"Inflammatory bowel disease (IBD)","6","7.06"
"Substance abuse/addiction","5","5.88"
"Multiple sclerosis","2","2.35"
"HIV/AIDS","1","1.18"
