"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  1292  avg =  73.502"
"response","count","percent_responded"
"100","749","57.97"
"0","187","14.47"
"50","36","2.79"
"90","23","1.78"
"99","21","1.63"
"80","19","1.47"
"1","18","1.39"
"75","18","1.39"
"97","13","1.01"
"10","12","0.93"
"5","12","0.93"
"98","11","0.85"
"25","10","0.77"
"85","10","0.77"
"95","10","0.77"
"2","7","0.54"
"20","7","0.54"
"30","7","0.54"
"40","7","0.54"
"70","6","0.46"
"60","5","0.39"
"7","5","0.39"
"88","5","0.39"
"94","5","0.39"
"48","4","0.31"
"51","4","0.31"
"65","4","0.31"
"21","3","0.23"
"35","3","0.23"
"45","3","0.23"
"52","3","0.23"
"54","3","0.23"
"86","3","0.23"
"15","2","0.15"
"16","2","0.15"
"27","2","0.15"
"28","2","0.15"
"3","2","0.15"
"39","2","0.15"
"49","2","0.15"
"53","2","0.15"
"55","2","0.15"
"56","2","0.15"
"59","2","0.15"
"64","2","0.15"
"79","2","0.15"
"84","2","0.15"
"11","1","0.08"
"12","1","0.08"
"13","1","0.08"
"14","1","0.08"
"19","1","0.08"
"23","1","0.08"
"24","1","0.08"
"26","1","0.08"
"32","1","0.08"
"33","1","0.08"
"34","1","0.08"
"42","1","0.08"
"46","1","0.08"
"47","1","0.08"
"57","1","0.08"
"58","1","0.08"
"6","1","0.08"
"66","1","0.08"
"69","1","0.08"
"71","1","0.08"
"72","1","0.08"
"73","1","0.08"
"74","1","0.08"
"82","1","0.08"
"87","1","0.08"
"89","1","0.08"
"9","1","0.08"
"91","1","0.08"
"92","1","0.08"
"93","1","0.08"
"96","1","0.08"
