"q10","How do you use cannabis? Please select all that apply.","n =  913"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","379","41.51"
"Antidepressants","222","24.32"
"NSAID/non-opioid analgesics","172","18.84"
"Narcotics/opioids","151","16.54"
"Muscle relaxants","143","15.66"
"Anxiolytics/Benzodiazepines","131","14.35"
"Other (please specify)","106","11.61"
"Other (please specify below)","89","9.75"
"Sedatives/hypnotics","68","7.45"
"Antimigraine","51","5.59"
"Antipsychotics","31","3.4"
"Anti-convulsants","20","2.19"
"Proton pump inhibitors","19","2.08"
