"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  144  avg =  73.58"
"response","count","percent_responded"
"100","66","45.83"
"0","15","10.42"
"70","13","9.03"
"80","11","7.64"
"50","7","4.86"
"60","6","4.17"
"90","6","4.17"
"10","3","2.08"
"1","2","1.39"
"30","2","1.39"
"40","2","1.39"
"99","2","1.39"
"18","1","0.69"
"43","1","0.69"
"48","1","0.69"
"51","1","0.69"
"67","1","0.69"
"74","1","0.69"
"92","1","0.69"
"94","1","0.69"
"98","1","0.69"
