"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","64","44.44"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","59","40.97"
"I don’t take any prescription medications","44","30.56"
"Anti-inflammatories","40","27.78"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","34","23.61"
"Muscle relaxants","26","18.06"
"Other (please specify)","26","18.06"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","23","15.97"
"Statins (e.g. Lipitor, Crestor)","18","12.5"
"Antimigraine","13","9.03"
"Antipsychotics (e.g. Abilify, Seroquel)","12","8.33"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","12","8.33"
"Beta Blockers","11","7.64"
"Antihypertensives","10","6.94"
"Steroids, including steroid creams","10","6.94"
"Sedatives/hypnotics","9","6.25"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","8","5.56"
"Proton pump inhibitors","7","4.86"
"Hormone replacement therapy (HRT)","6","4.17"
"Barbiturates (e.g. Floricet)","3","2.08"
"Insulin","2","1.39"
"Antiemetics","1","0.69"
