"chosen","count","percent_all","percent_responded"
"Anti-inflammatories",94,0.0955284552845529,0.248677248677249
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)",147,0.149390243902439,0.388888888888889
"Antiemetics",5,0.00508130081300813,0.0132275132275132
"Antihypertensives",18,0.0182926829268293,0.0476190476190476
"Antimigraine",19,0.0193089430894309,0.0502645502645503
"Antipsychotics (e.g. Abilify, Seroquel)",15,0.0152439024390244,0.0396825396825397
"Barbiturates (e.g. Floricet)",9,0.00914634146341463,0.0238095238095238
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)",79,0.0802845528455285,0.208994708994709
"Beta Blockers",21,0.0213414634146341,0.0555555555555556
"Hormone replacement therapy (HRT)",3,0.00304878048780488,0.00793650793650794
"Insulin",8,0.00813008130081301,0.0211640211640212
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)",63,0.0640243902439024,0.166666666666667
"Muscle relaxants",88,0.0894308943089431,0.232804232804233
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)",98,0.0995934959349594,0.259259259259259
"Other (please specify)",39,0.0396341463414634,0.103174603174603
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)",168,0.170731707317073,0.444444444444444
"Proton pump inhibitors",10,0.0101626016260163,0.0264550264550265
"Sedatives/hypnotics",25,0.0254065040650406,0.0661375661375661
"Statins (e.g. Lipitor, Crestor)",29,0.0294715447154472,0.0767195767195767
"Steroids, including steroid creams",22,0.0223577235772358,0.0582010582010582
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)",24,0.024390243902439,0.0634920634920635
