"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Chronic pain","12","75"
"Anxiety","10","62.5"
"Depression","8","50"
"Posttraumatic stress disorder (PTSD)","7","43.75"
"Insomnia","5","31.25"
"Arthritis","4","25"
"Bipolar/manic depression","2","12.5"
"Diabetes","2","12.5"
"Hypertension","2","12.5"
"Allergies","1","6.25"
"Epilepsy","1","6.25"
"Fibromyalgia/myositis","1","6.25"
"Inflammatory bowel disease (IBD)","1","6.25"
"Obesity","1","6.25"
"Substance abuse/addiction","1","6.25"
