"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Pain","107","80.45"
"Depression/mood","101","75.94"
"Anxiety/panic attacks","91","68.42"
"Sleep/insomnia","88","66.17"
"Headache","69","51.88"
"Attention/concentration","56","42.11"
"Inflammation","53","39.85"
"Aggression","50","37.59"
"Appetite/weight","48","36.09"
"Spasms","44","33.08"
"Nausea/vomiting","34","25.56"
"Skin conditions","23","17.29"
"Respiratory","19","14.29"
"Mania/psychosis","11","8.27"
"Ocular pressure","11","8.27"
"Other (please specify)","10","7.52"
"Seizures","5","3.76"
"Drug withdrawal","2","1.5"
