"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Depression/mood","293","100"
"Sleep/insomnia","201","68.6"
"Anxiety/panic attacks","189","64.51"
"Pain","163","55.63"
"Aggression","115","39.25"
"Attention/concentration","89","30.38"
"Headache","86","29.35"
"Appetite/weight","71","24.23"
"Inflammation","61","20.82"
"Spasms","53","18.09"
"Nausea/vomiting","39","13.31"
"Mania/psychosis","16","5.46"
"Ocular pressure","14","4.78"
"Skin conditions","13","4.44"
"Other (please specify)","10","3.41"
"Seizures","6","2.05"
"Drug withdrawal","5","1.71"
"Respiratory","5","1.71"
