"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  126"
"response","count","percent_responded"
"Workplace testing or other policies","59","46.83"
"Access to the right products","48","38.1"
"Stigma","45","35.71"
"Money to purchase products","43","34.13"
"Owning a firearm","37","29.37"
"Money required to get medical card","31","24.6"
"Place to consume cannabis","30","23.81"
"Lack of knowledge","14","11.11"
"Other (please specify)","11","8.73"
"Previous bad experience","4","3.17"
