"q13","Where are the locations of your pain (please check all that apply)","n =  161"
"response","count","percent_responded"
"Lower back","125","77.64"
"Knee","85","52.8"
"General joint pain","78","48.45"
"Neck","75","46.58"
"Shoulder","74","45.96"
"Leg","72","44.72"
"Hips","71","44.1"
"Upper back","59","36.65"
"Foot","57","35.4"
"Generalized muscle pain","56","34.78"
"Hand","55","34.16"
"Head/headache","47","29.19"
"Wrist","46","28.57"
"Arm","45","27.95"
"Full body","27","16.77"
"Abdomen","26","16.15"
"Buttocks","25","15.53"
"Mouth/dental pain","21","13.04"
"Stomach","18","11.18"
"Chest","15","9.32"
"Other (please specify)","11","6.83"
"Face","8","4.97"
"Genitalia","5","3.11"
"Rectum","4","2.48"
