"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  279"
"response","count","percent_responded"
"Antidepressants","279","100"
"Muscle relaxants","83","29.75"
"Narcotics/opioids","82","29.39"
"Anxiolytics/Benzodiazepines","77","27.6"
"NSAID/non-opioid analgesics","75","26.88"
"Sedatives/hypnotics","49","17.56"
"Antimigraine","32","11.47"
"Antipsychotics","30","10.75"
"Other (please specify)","26","9.32"
"Other (please specify below)","18","6.45"
"Anti-convulsants","13","4.66"
"Proton pump inhibitors","11","3.94"
"Not actively trying to reduce medication Intake","1","0.36"
