"q7","How does cannabis help your daily life? (Please select all that apply)","n =  224"
"response","count","percent_responded"
"Helps with physical symptoms (e.g. body pains, function, sensation)","205","91.52"
"Generally helps with quality of life","183","81.7"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","166","74.11"
"Helps to reduce use of opiates","162","72.32"
"Helps to reduce use of other prior medicines (non-opiates)","119","53.12"
"Helps to avoid starting other medicines (including opiates)","114","50.89"
"Helps to reduce use of alcohol","87","38.84"
"Helps to reduce us of tobacco","41","18.3"
"Other (please specify)","12","5.36"
