"q52","What questions regarding cannabis did we not ask that are important to you?","n =  214"
"response","count","percent_responded"
"None","50","23.36"
"none","12","5.61"
"N/A","6","2.8"
"Na","4","1.87"
"None ","4","1.87"
"Nothing","4","1.87"
"n/a","3","1.4"
"Not sure","3","1.4"
"No","2","0.93"
"about my sustained and maintenance care regarding opiate addiction recovery. Survey focuses only on patients who are ""trying it"" ... I've been succeeding for the past 3 years. The information regarding the continued care in this area of recovery that is not ""NEW""OR ""TRYING"" ... but actually succeeding, (questions about ""sustaining success,"" etc)","1","0.47"
"Accepting payments in XLM, XRP, ETH BCH, BTC.","1","0.47"
"Add FECO to list of products used.","1","0.47"
"Al were good","1","0.47"
"All good","1","0.47"
"All references seem to be dispensary or budtender based.  Maybe ask how many are using private caregivers and the quality we offer.","1","0.47"
"All where","1","0.47"
"Am i interested in stronger strains for sleep, relaxation, depression help?  Yes.","1","0.47"
"Are the patients' needs being met satisfactorily by the supply of dispensaries (No, more demand than available supply)","1","0.47"
"Are your healcare providers knowledgeable about the specifics of medicinal cannabis use? Not at all!","1","0.47"
"ask whether or not patient wants to feel psychoactive effect or whether that is a problem. ","1","0.47"
"Bask","1","0.47"
"Black market influence, pricing, spectrum of choices, etc. ","1","0.47"
"Can't think of any","1","0.47"
"Can't think of any.","1","0.47"
"Can't think of anything","1","0.47"
"Can’t think of anything right now ","1","0.47"
"Cost....no one pays more for cannabis than Massachusetts mmj patients. Frustrating knowing the western part of the country pays just a fraction of the $ we do for the same product","1","0.47"
"Did you ask about terpene testing or was I just on my soapbox? If you want to gather more good information, add more fill-in boxes. ie. #53-54. I used recreationally when younger, but not much at all as a parent. Then I 'recreated' one evening after developing fibromyalgia and realized this is medicine! Now I use medicinally, and recreate on the occasional weekend. Much prefer cannabis to alcohol. I've done a lot of research & experimentation on it, and enjoy sharing that knowledge with friends and family. Taught a mature friend to smoke for the first time in her life. She now legally consumes regularly to significantly improve her fibro symptoms so she can keep working. Thank you for allowing me to participate in a medicinal cannabis survey without the prerequisite of medicating legally!","1","0.47"
"Did you grow up in a family where Cannabis was used?","1","0.47"
"Dispensary employees need to understand which terpenes are good for different ailments.  ","1","0.47"
"do  you feel cannabis is more or less safe than alcohol. & i  would answer alcohol is far more dangerous & is the gateway drug to be concerned with. not cannabis","1","0.47"
"Do you know about the dry and cure process and how important it is?","1","0.47"
"Do you think cannabis has different effects on females vs. males ?","1","0.47"
"Do you think that it’s unfair to have to worry about traveling with this medicine. It’s ok to have those opioids in your daily pill box or benzodiazepines but that cannabis is a issue when flying or traveling in general. ","1","0.47"
"Does cannabis affect your medical condition?","1","0.47"
"Does cannabis treat the symptoms you experience on a daily basis? ","1","0.47"
"Don’t have any questions","1","0.47"
"Dont know","1","0.47"
"Dosing schedules ","1","0.47"
"Education is important.  What are some areas that new patients require to be able to make their own medications?","1","0.47"
"For those who have come off of opiates and other drugs, there were only questions about present use, not past use. More questions about policies and knowledge of staff at dispensaries","1","0.47"
"Getting into the biz","1","0.47"
"How are people with MS, Parkinson’s, etc being taught how to use","1","0.47"
"How can we get the cost defrayed the government saves $4000 a month on my meds alone and I’m destitute ","1","0.47"
"How can we move from stigma to real science and mainstream medicine?","1","0.47"
"How do I get my cannabis product:  If I do not get my cannabis in the dispensary, how and where do I get it.   How many online dispensaries do I get my cannabis from.  do I have it shipped from out of state.","1","0.47"
"How does cannabis improve healing beyond just consuming it.","1","0.47"
"How I feel about pricing and whether insurance companies should be forced to cover cost","1","0.47"
"How important is it that you have consistent access to your favorite strain?","1","0.47"
"how long have i used?","1","0.47"
"how to dose","1","0.47"
"How to grow in home and where to get seeds and starter plants","1","0.47"
"how to obtain grow license","1","0.47"
"How to talk to your kids so you aren't worried about what they say to others.","1","0.47"
"How will this survey help with the stigma of cannabis; how will this assist with cannabis being recognized as an alternative to opioids for pain medication. ","1","0.47"
"How will you flush out those who are taking advantage of the market with crap product","1","0.47"
"I'm good ","1","0.47"
"I'm not sure","1","0.47"
"I can’t think of any ","1","0.47"
"I think the medical card should last more than a year. I have gotten off Fentanyl with the use of CBD and THC. I do have belly pain though from the Whipple Surgery","1","0.47"
"I would like to see questions regarding how long it took to get to a therapeutic level and also if people are using it for their pets and what effect it has had.","1","0.47"
"Insurance coverage of cannabis  Medical benefits from cannabis","1","0.47"
"Is it a legal State","1","0.47"
"is medical cannabis tax deductible?  Dosing and entourage effect?","1","0.47"
"Issues concerning home growing including buying seeds, landlord restrictions, regulations, etc","1","0.47"
"Jdndnd","1","0.47"
