"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  265"
"response","count","percent_responded"
"Chronic pain","86","32.45"
"Posttraumatic stress disorder (PTSD)","73","27.55"
"Anxiety","40","15.09"
"Depression","22","8.3"
"Insomnia","14","5.28"
"Bipolar/manic depression","7","2.64"
"Arthritis","6","2.26"
"Cancer","4","1.51"
"Gastrointestinal/digestive system disorders","3","1.13"
"Fibromyalgia/myositis","2","0.75"
"HIV/AIDS","2","0.75"
"Substance abuse/addiction","2","0.75"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.38"
"Hypertension","1","0.38"
"Inflammatory bowel disease (IBD)","1","0.38"
"Multiple sclerosis","1","0.38"
