"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","6","37.5"
"I'm not trying to reduce any medication use","6","37.5"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","5","31.25"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","4","25"
"Anti-inflammatories","2","12.5"
"I don’t take any medications","2","12.5"
"I have reduced my prescription medication use in the past","2","12.5"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","2","12.5"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","2","12.5"
"Sedatives/hypnotics","2","12.5"
"Statins (e.g. Lipitor, Crestor)","2","12.5"
"Antipsychotics (e.g. Abilify, Seroquel)","1","6.25"
"Barbiturates (e.g. Floricet)","1","6.25"
"Muscle relaxants","1","6.25"
