"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  723"
"response","count","percent_responded"
"Anxiety","536","74.14"
"Sleep","496","68.6"
"Depression","427","59.06"
"Pain","424","58.64"
"Inflammation","260","35.96"
"Headache","241","33.33"
"Nausea","210","29.05"
"Attention/concentration","185","25.59"
"Appetite/weight","158","21.85"
"Spasms","146","20.19"
"Aggression","138","19.09"
"Other (please specify)","48","6.64"
"Skin conditions","35","4.84"
"Mainia/psychosis","27","3.73"
"Drug withdrawl","23","3.18"
"Ocular pressure","19","2.63"
"Respiratory","16","2.21"
"Seizures","16","2.21"
"No Symptoms","15","2.07"
