"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  391  avg =  20.266"
"response","count","percent_responded"
"0","120","30.69"
"1","16","4.09"
"50","15","3.84"
"2","11","2.81"
"11","9","2.3"
"13","9","2.3"
"19","9","2.3"
"21","9","2.3"
"6","9","2.3"
"100","8","2.05"
"16","8","2.05"
"51","7","1.79"
"7","7","1.79"
"9","7","1.79"
"24","6","1.53"
"39","6","1.53"
"10","5","1.28"
"22","5","1.28"
"23","5","1.28"
"26","5","1.28"
"27","5","1.28"
"29","5","1.28"
"4","5","1.28"
"49","5","1.28"
"14","4","1.02"
"17","4","1.02"
"18","4","1.02"
"25","4","1.02"
"3","4","1.02"
"30","4","1.02"
"35","4","1.02"
"38","4","1.02"
"5","4","1.02"
"20","3","0.77"
"28","3","0.77"
"32","3","0.77"
"33","3","0.77"
"76","3","0.77"
"8","3","0.77"
"12","2","0.51"
"15","2","0.51"
"34","2","0.51"
"43","2","0.51"
"48","2","0.51"
"52","2","0.51"
"57","2","0.51"
"70","2","0.51"
"83","2","0.51"
"31","1","0.26"
"41","1","0.26"
"44","1","0.26"
"47","1","0.26"
"53","1","0.26"
"55","1","0.26"
"60","1","0.26"
"63","1","0.26"
"64","1","0.26"
"65","1","0.26"
"71","1","0.26"
"73","1","0.26"
"77","1","0.26"
"78","1","0.26"
"80","1","0.26"
"81","1","0.26"
"82","1","0.26"
"85","1","0.26"
"87","1","0.26"
"91","1","0.26"
"97","1","0.26"
"98","1","0.26"
"99","1","0.26"
