"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  266  avg =  59.85"
"response","count","percent_responded"
"100","112","42.11"
"0","51","19.17"
"50","11","4.14"
"75","9","3.38"
"10","7","2.63"
"5","6","2.26"
"90","6","2.26"
"30","5","1.88"
"15","4","1.5"
"25","4","1.5"
"98","4","1.5"
"14","3","1.13"
"2","3","1.13"
"80","3","1.13"
"95","3","1.13"
"1","2","0.75"
"12","2","0.75"
"13","2","0.75"
"52","2","0.75"
"82","2","0.75"
"99","2","0.75"
"18","1","0.38"
"19","1","0.38"
"20","1","0.38"
"26","1","0.38"
"27","1","0.38"
"3","1","0.38"
"32","1","0.38"
"4","1","0.38"
"40","1","0.38"
"43","1","0.38"
"48","1","0.38"
"51","1","0.38"
"56","1","0.38"
"67","1","0.38"
"7","1","0.38"
"70","1","0.38"
"73","1","0.38"
"8","1","0.38"
"85","1","0.38"
"86","1","0.38"
"89","1","0.38"
"93","1","0.38"
"97","1","0.38"
