"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  825"
"response","count","percent_responded"
"Sleep","581","70.42"
"Pain","575","69.7"
"Anxiety","564","68.36"
"Depression","430","52.12"
"Inflammation","360","43.64"
"Headache","231","28"
"Nausea","202","24.48"
"Spasms","201","24.36"
"Attention/concentration","157","19.03"
"Appetite/weight","152","18.42"
"Aggression","116","14.06"
"Other (please specify)","68","8.24"
"Skin conditions","38","4.61"
"Drug withdrawl","29","3.52"
"Ocular pressure","29","3.52"
"Mainia/psychosis","26","3.15"
"Respiratory","17","2.06"
"Seizures","16","1.94"
"No Symptoms","5","0.61"
