"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  56"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","17","30.36"
"Smoke flower","14","25"
"Vape cartridges","10","17.86"
"Tinctures","4","7.14"
"Vape flower","4","7.14"
"Capsules","3","5.36"
"Salves/topicals","2","3.57"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","1","1.79"
"Transdermal patches","1","1.79"
