"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  77"
"response","count","percent_responded"
"Asbestos","25","32.47"
"I was not exposed to any of these","24","31.17"
"Burn Pits","18","23.38"
"Specific Environmental Hazards","11","14.29"
"contaminated drinking water at camp Lejelune","9","11.69"
"Radiation Exposure","9","11.69"
"Gulf war illness","7","9.09"
"Agent Orange","6","7.79"
"Other (please specify)","6","7.79"
"Gulf war illness in Afghanistan","2","2.6"
"Children having birth defects like Spina Bifida","1","1.3"
"Contact with mustard gas or lewisite","1","1.3"
