"""Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)""",,
,,
chosen,count,percent_responded
Chronic pain,413,73.10%
Anxiety,391,69.20%
Depression,371,65.66%
Posttraumatic stress disorder (PTSD),320,56.64%
Arthritis,236,41.77%
Insomnia,233,41.24%
Hypertension,139,24.60%
Allergies,136,24.07%
Gastrointestinal/digestive system disorders,136,24.07%
Other (please specify),112,19.82%
Obesity,107,18.94%
Reflux esophagitis,100,17.70%
Respiratory problems,88,15.58%
Attention deficit/hyperactivity disorder (ADHD),76,13.45%
Diabetes,72,12.74%
Substance abuse/addiction,72,12.74%
Inflammatory bowel disease (IBD),54,9.56%
Cancer,53,9.38%
Cardiovascular disease,52,9.20%
Fibromyalgia/myositis,44,7.79%
Bipolar/manic depression,43,7.61%
Eczema,41,7.26%
HIV/AIDS,8,1.42%
Multiple sclerosis,7,1.24%
Epilepsy,5,0.88%
Alzheimer's,2,0.35%
Autism,1,0.18%
