"response","count","percent_responded"
"None","10","5.49"
"Providence","7","3.85"
"Bedford","5","2.75"
"none","5","2.75"
"Boston","4","2.2"
"Leeds","4","2.2"
"Worcester","4","2.2"
"Brockton MA","3","1.65"
"n/a","3","1.65"
"N/A","3","1.65"
"Northampton","3","1.65"
"Providence ","3","1.65"
"Providence RI","3","1.65"
"Bedford ","2","1.1"
"Bedford, MA","2","1.1"
"Boston - JP","2","1.1"
"Boston JP","2","1.1"
"Brockton","2","1.1"
"Fitchburg ","2","1.1"
"leeds","2","1.1"
"Leeds, MA","2","1.1"
"Lynn","2","1.1"
"Northampton ","2","1.1"
"Providence, R.I.","2","1.1"
"Springfield Ma","2","1.1"
"West Roxbury ","2","1.1"
"worcester","2","1.1"
"Worcester ","2","1.1"
" Brockton Massachusetts","1","0.55"
"bedford","1","0.55"
"bedford , ma","1","0.55"
"Bedford VA Hospital ","1","0.55"
"Bedford va medical ","1","0.55"
"Bedford, ma","1","0.55"
"boston","1","0.55"
"Boston ","1","0.55"
"Boston & Worcester","1","0.55"
"Boston (JP/West Roxbury)","1","0.55"
"boston area","1","0.55"
"boston ma","1","0.55"
"Boston MA","1","0.55"
"Boston WRox","1","0.55"
"Brockton ","1","0.55"
"Brockton VA","1","0.55"
"Brockton. Massachusetts","1","0.55"
"Central Western MA","1","0.55"
"don't","1","0.55"
"Don't ","1","0.55"
"Edith Nourse Hospital, Bedford, MA","1","0.55"
"Fitchburg","1","0.55"
"Fitchburg Outpatient Clinic","1","0.55"
"Florence,MA","1","0.55"
"HOUSTON ","1","0.55"
"Hyannis","1","0.55"
"I'm currently in using a VA","1","0.55"
"i don't","1","0.55"
"I don't","1","0.55"
"I don't use the VA","1","0.55"
"I don’t ","1","0.55"
"Jamaica Plain","1","0.55"
"Jamaica Plain ","1","0.55"
"Jamaica Plain and West Roxbury","1","0.55"
"Jamaica Plain Boston MA","1","0.55"
"Jamaica plains","1","0.55"
"Jp","1","0.55"
"Leed's Northampton MA","1","0.55"
"Leeds ","1","0.55"
"LEEDS MA","1","0.55"
"Leeds Massachusetts ","1","0.55"
"Leeds VA Northampton, Ma","1","0.55"
"Leeds, Springfield OPC","1","0.55"
"Lynn VA clinic","1","0.55"
"MA","1","0.55"
"Massachusetts VA hospital and clinics ","1","0.55"
"N/a","1","0.55"
"na","1","0.55"
"Never been","1","0.55"
"New Bedford and Providence ","1","0.55"
"Newington, CT","1","0.55"
"NONE","1","0.55"
"None now previously Springfield outpatient","1","0.55"
"Nope","1","0.55"
"North Hampton MA","1","0.55"
"Northampton va medical center ","1","0.55"
"Northampton/Leeds   ","1","0.55"
"Northampton/Leeds, MA","1","0.55"
"Northhampton, Ma","1","0.55"
"Plymouth, MA Clinic ","1","0.55"
"providence","1","0.55"
"Providence Ri","1","0.55"
"PROVIDENCE RI","1","0.55"
"Providence RI ","1","0.55"
"Providence, RI","1","0.55"
"Springfield","1","0.55"
"Springfield - Bond St","1","0.55"
"Springfield MA","1","0.55"
"Springfield Massachusetts","1","0.55"
"Springfield, Massachusetts","1","0.55"
"VA  BostonJamaica Plain","1","0.55"
"VA Bond st Springfield, MA","1","0.55"
"VA Central Western MA","1","0.55"
"VA Central Western Massachusetts Healthcare System","1","0.55"
"VA Clinic, North Quincy, MA","1","0.55"
"VA Jamaica Plain","1","0.55"
"VA Leeds/ Vet Center West Springfield, MA","1","0.55"
"VA Medical Center Boston Jamaica Plain","1","0.55"
"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104","1","0.55"
"west roxbury","1","0.55"
"West Roxbury","1","0.55"
"West Roxbury , Boston, Mass","1","0.55"
"West Roxbury Boston ma","1","0.55"
"West Roxbury VA ","1","0.55"
"West Roxbury VAMC  Massachusetts","1","0.55"
"West Roxbury, ma","1","0.55"
"West Roxbury, Ma","1","0.55"
"Western MA, Leeds and Springfield","1","0.55"
"Worcester CBOC","1","0.55"
"Worcester MA","1","0.55"
"Worcester Ma.","1","0.55"
"Worcester Ma. outpatient ","1","0.55"
"Worcester VA Clinic","1","0.55"
"Worcester, Boston","1","0.55"
"Worcester, MA","1","0.55"
"Which VA do you go to?","Which VA do you go to?","Which VA do you go to?"
