"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Chronic pain","295","70.41"
"Anxiety","294","70.17"
"Depression","265","63.25"
"Posttraumatic stress disorder (PTSD)","237","56.56"
"Insomnia","172","41.05"
"Arthritis","170","40.57"
"Hypertension","104","24.82"
"Allergies","102","24.34"
"Gastrointestinal/digestive system disorders","98","23.39"
"Obesity","84","20.05"
"Other (please specify)","81","19.33"
"Reflux esophagitis","72","17.18"
"Respiratory problems","66","15.75"
"Attention deficit/hyperactivity disorder (ADHD)","54","12.89"
"Diabetes","50","11.93"
"Substance abuse/addiction","50","11.93"
"Cancer","43","10.26"
"Inflammatory bowel disease (IBD)","40","9.55"
"Cardiovascular disease","33","7.88"
"Bipolar/manic depression","31","7.4"
"Fibromyalgia/myositis","28","6.68"
"Eczema","22","5.25"
"HIV/AIDS","4","0.95"
"Epilepsy","3","0.72"
"Multiple sclerosis","3","0.72"
"Alzheimer's","1","0.24"
"Autism","1","0.24"
