"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  834"
"response","count","percent_responded"
"Different effects of different cannabinoids","619","74.22"
"Medical value of cannabis","492","58.99"
"Cultivation and extraction","422","50.6"
"Cannabis genetics","347","41.61"
"Cannabis and pharmaceutical drug interactions","323","38.73"
"Side effects of cannabis","275","32.97"
"Other (please specify)","59","7.07"
"Other (please list below)","41","4.92"
