"q12","How do you prefer to use cannabis? 
Please check all that apply.","n =  119"
"response","count","percent_responded"
"Smoke flower","93","78.15"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","79","66.39"
"Vape cartridges","56","47.06"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","40","33.61"
"Tinctures","36","30.25"
"Vape flower","36","30.25"
"Salves/topicals","35","29.41"
"Capsules","15","12.61"
"Transdermal patches","9","7.56"
"Suppositories","3","2.52"
"Other (please specify)","2","1.68"
