"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  1243"
"response","count","percent_responded"
"None","62","4.99"
"N/A","33","2.65"
"none","33","2.65"
"N/a","21","1.69"
"n/a","19","1.53"
"Not sure","13","1.05"
"Na","10","0.8"
"unknown","10","0.8"
"don't know","8","0.64"
"Unsure","7","0.56"
"None ","6","0.48"
"Blue dream","5","0.4"
"na","5","0.4"
"Unknown","5","0.4"
"Don't know","4","0.32"
"Don’t know","4","0.32"
"dont know","4","0.32"
"Dont know","4","0.32"
"Durban Poison","4","0.32"
"I don't know","4","0.32"
"I don’t know","4","0.32"
"Maui Wowie","4","0.32"
"not sure","4","0.32"
"Purple haze","4","0.32"
"Sour diesel","4","0.32"
"3 chems","3","0.24"
"all","3","0.24"
"All","3","0.24"
"Blue Dream","3","0.24"
"Candyland","3","0.24"
"Cheese","3","0.24"
"idk","3","0.24"
"Idk","3","0.24"
"Jack Herer","3","0.24"
"Live resin","3","0.24"
"Moon rocks ","3","0.24"
"Northern Lights","3","0.24"
"Not sure ","3","0.24"
"Purple Haze","3","0.24"
"Strawberry Fields","3","0.24"
"24k","2","0.16"
"ACDC","2","0.16"
"Beverages","2","0.16"
"Beverages ","2","0.16"
"blue dream","2","0.16"
"CBD","2","0.16"
"Cbd capsules","2","0.16"
"Charlottes web","2","0.16"
"Coconut oil","2","0.16"
"Cookies and cream","2","0.16"
"Drinks","2","0.16"
"edibles","2","0.16"
"Edibles","2","0.16"
"Edibles ","2","0.16"
"Gelato","2","0.16"
"Green crack","2","0.16"
"Green Crack","2","0.16"
"Harlequin ","2","0.16"
"Hash","2","0.16"
"Higher dose edibles","2","0.16"
"Higher thc ","2","0.16"
"i don't know yet","2","0.16"
"Jack Herrer","2","0.16"
"Lemon ice","2","0.16"
"Lemon Skunk","2","0.16"
"Moonrock","2","0.16"
"More 10 and 20 mg lozenges","2","0.16"
"More sativas","2","0.16"
"More topicals","2","0.16"
"Na ","2","0.16"
"no idea","2","0.16"
"No local dispensaries","2","0.16"
"Nothing","2","0.16"
"OG Kush","2","0.16"
"Pineapple express","2","0.16"
