"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  825"
"response","count","percent_responded"
"Chronic pain","333","40.36"
"Anxiety","166","20.12"
"Depression/mood","89","10.79"
"Other (please specify)","56","6.79"
"Post-Traumatic Stress Disorder (PTSD)","50","6.06"
"Insomnia","49","5.94"
"Inflammatory Bowel Disease (IBD)","26","3.15"
"Arthritis","21","2.55"
"Attention Deficit/Hyperactivity Disorder (ADHD)","10","1.21"
"Multiple Sclerosis","9","1.09"
"Nausea/vomiting","8","0.97"
"Epilipsey","5","0.61"
"HIV/AIDS","1","0.12"
"Not using cannabis for a health condition","1","0.12"
"Response","1","0.12"
