"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  333"
"response","count","percent_responded"
"Some college, no degree","122","36.64"
"Associate's degree","59","17.72"
"High school degree or equivalent (GED)","55","16.52"
"Bachelor's degree","51","15.32"
"Master's degree","20","6.01"
"Vocational degree","20","6.01"
"Doctorate (Ph.D, Ed.D, etc)","3","0.9"
"Professional degree (MD, JD, DDS, DVM)","2","0.6"
"Less than high school diploma","1","0.3"
