"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  105"
"response","count","percent_responded"
"I have reduced my prescription medication use in the past","33","31.43"
"I don’t take any medications","30","28.57"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","24","22.86"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","21","20"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","17","16.19"
"Anti-inflammatories","14","13.33"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","14","13.33"
"Muscle relaxants","13","12.38"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","11","10.48"
"I'm not trying to reduce any medication use","10","9.52"
"Other (please specify)","9","8.57"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","7","6.67"
"Sedatives/hypnotics","5","4.76"
"Steroids, including steroid creams","5","4.76"
"Antihypertensives","4","3.81"
"Antipsychotics (e.g. Abilify, Seroquel)","4","3.81"
"Insulin","4","3.81"
"Statins (e.g. Lipitor, Crestor)","4","3.81"
"Proton pump inhibitors","3","2.86"
"Antimigraine","2","1.9"
"Barbiturates (e.g. Floricet)","2","1.9"
"Beta Blockers","1","0.95"
