"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Dry mouth","102","76.69"
"Increased energy","60","45.11"
"More or less talkative","44","33.08"
"Changes in appetite","43","32.33"
"Sleepiness/fatigue","37","27.82"
"Other (please specify)","20","15.04"
"Paranoia","15","11.28"
"Changes in libido","12","9.02"
"Feeling of being ""altered""","12","9.02"
"Heart racing/palpitations","11","8.27"
"Memory problems","10","7.52"
"Tough to get started in the morning (lassitude) or ""couch lock""","8","6.02"
"Difficulty concentrating","7","5.26"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","7","5.26"
"Racing thoughts","6","4.51"
"Anxiety","5","3.76"
"Dizziness","4","3.01"
"Nausea","3","2.26"
"Apathy","2","1.5"
"Headache","2","1.5"
"Sweating","2","1.5"
"Depression","1","0.75"
