"q10","How do you use cannabis? Please select all that apply.","n =  142"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","63","44.37"
"Antidepressants","38","26.76"
"Muscle relaxants","22","15.49"
"Anxiolytics/Benzodiazepines","21","14.79"
"Narcotics/opioids","20","14.08"
"Sedatives/hypnotics","16","11.27"
"Other (please specify)","15","10.56"
"NSAID/non-opioid analgesics","14","9.86"
"Other (please specify below)","11","7.75"
"Antimigraine","7","4.93"
"Antipsychotics","7","4.93"
"Anti-convulsants","4","2.82"
