"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  105  avg =  55.51"
"response","count","percent_responded"
"100","32","30.48"
"0","24","22.86"
"60","6","5.71"
"50","5","4.76"
"80","5","4.76"
"30","4","3.81"
"70","4","3.81"
"20","3","2.86"
"90","3","2.86"
"10","2","1.9"
"99","2","1.9"
"1","1","0.95"
"2","1","0.95"
"22","1","0.95"
"28","1","0.95"
"3","1","0.95"
"31","1","0.95"
"40","1","0.95"
"48","1","0.95"
"51","1","0.95"
"6","1","0.95"
"75","1","0.95"
"81","1","0.95"
"92","1","0.95"
"93","1","0.95"
"98","1","0.95"
