"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Money to purchase products","44","55.7"
"Stigma","33","41.77"
"Access to the right products","32","40.51"
"Owning a firearm","29","36.71"
"Money required to get medical card","24","30.38"
"Workplace testing or other policies","21","26.58"
"Place to consume cannabis","17","21.52"
"Lack of knowledge","15","18.99"
"Other (please specify)","6","7.59"
"Previous bad experience","5","6.33"
