"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  723"
"response","count","percent_responded"
"Smoke flower","380","52.56"
"Vape cartridges","123","17.01"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","73","10.1"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","65","8.99"
"Vape flower","52","7.19"
"Tinctures","19","2.63"
"Other (please specify)","4","0.55"
"Salves/topicals","4","0.55"
"Capsules","2","0.28"
"Suppositories","1","0.14"
