"q67","Which VA do you go to?","n =  94"
"response","count","percent_responded"
"None","5","5.32"
"Brockton MA","3","3.19"
"Loma Linda ","2","2.13"
"N/A","2","2.13"
"Newington, CT","2","2.13"
"nj","2","2.13"
"none","2","2.13"
" Brockton Massachusetts","1","1.06"
"Alaska","1","1.06"
"All mass clinics","1","1.06"
"American Lake","1","1.06"
"Bedford, ma","1","1.06"
"Boston ","1","1.06"
"boston campus","1","1.06"
"Boston JP","1","1.06"
"boston ma","1","1.06"
"Brockton, J.P. , W. Roxbury","1","1.06"
"cape coral.","1","1.06"
"Central Western MA","1","1.06"
"Clarksville ,Tn","1","1.06"
"Do not go to va","1","1.06"
"do not use va","1","1.06"
"Don't ","1","1.06"
"Don’t ","1","1.06"
"Don’t use va","1","1.06"
"El Paso","1","1.06"
"Fayetteville,Ar","1","1.06"
"Fitchburg Outpatient Clinic","1","1.06"
"Hampton, Virginia","1","1.06"
"Heavy","1","1.06"
"Hilo, Hawai’i ","1","1.06"
"hospital","1","1.06"
"I go to Civilian healthcare","1","1.06"
"I still have to check in to the Las Cruces VA, I just moved here a year ago.","1","1.06"
"James Haley","1","1.06"
"Jefferson Barracks, MO","1","1.06"
"La Jolla VAMC","1","1.06"
"leeds","1","1.06"
"Leeds","1","1.06"
"Leeds ","1","1.06"
"Leeds, MA","1","1.06"
"LITTLE ROCK","1","1.06"
"Loma 6","1","1.06"
"Loma linda","1","1.06"
"Long Beach ","1","1.06"
"Lynn VA clinic","1","1.06"
"Martinez, CA","1","1.06"
"MT","1","1.06"
"na","1","1.06"
"NONE","1","1.06"
"Northampton","1","1.06"
"Northampton/Leeds   ","1","1.06"
"Orlando, FL","1","1.06"
"Overton Brooks VA Medical Center ","1","1.06"
"Palo alto","1","1.06"
"Pensacola FL ","1","1.06"
"Plymouth, MA Clinic ","1","1.06"
"prefer not to answer","1","1.06"
"Prescott VA Hospital ","1","1.06"
"Prescott, AZ","1","1.06"
"Providence ","1","1.06"
"Providence RI","1","1.06"
"Providence, R.I.","1","1.06"
"Rather not answer.","1","1.06"
"RI","1","1.06"
"Rocky Mountain VAMC","1","1.06"
"Saginaw Michigan","1","1.06"
"San Francisco","1","1.06"
"SAVAHCS","1","1.06"
"Springfield Ma","1","1.06"
"Springfield MA","1","1.06"
"Tampa, FL","1","1.06"
"Tavares Florida","1","1.06"
"test test test test","1","1.06"
"Viera OPC, Viera FL","1","1.06"
"Vierra, Fl","1","1.06"
"West Roxbury Boston ma","1","1.06"
"West Roxbury VA ","1","1.06"
"Worcester","1","1.06"
"Worcester ","1","1.06"
"Worcester Ma. outpatient ","1","1.06"
"Yeah, right","1","1.06"
"Yuba City, CA Clinic","1","1.06"
