"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","7","43.75"
"Anti-inflammatories","4","25"
"I don’t take any medications","4","25"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","4","25"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","3","18.75"
"I have reduced my prescription medication use in the past","3","18.75"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","3","18.75"
"Muscle relaxants","3","18.75"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","3","18.75"
"I'm not trying to reduce any medication use","2","12.5"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","1","6.25"
