"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  126"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","80","63.49"
"Smoke flower","80","63.49"
"Vape cartridges","59","46.83"
"Tinctures","39","30.95"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","38","30.16"
"Vape flower","35","27.78"
"Salves/topicals","30","23.81"
"Capsules","16","12.7"
"Transdermal patches","9","7.14"
"Other (please specify)","4","3.17"
"Suppositories","3","2.38"
