"q7","How does cannabis help your daily life? (Please select all that apply)","n =  834"
"response","count","percent_responded"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","765","91.73"
"Generally helps with quality of life","684","82.01"
"Helps with physical symptoms (e.g. body pains, function, sensation)","591","70.86"
"Helps to avoid starting other medicines (including opiates)","321","38.49"
"Helps to reduce use of other prior medicines (non-opiates)","286","34.29"
"Helps to reduce use of alcohol","282","33.81"
"Helps to reduce use of opiates","151","18.11"
"Helps to reduce us of tobacco","128","15.35"
"Other (please specify)","41","4.92"
"Does not help my daily life","4","0.48"
