"q14","What are the effects of your pain? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Physical activity","44","78.57"
"Enjoyment of life","43","76.79"
"Energy level","41","73.21"
"Sleep","41","73.21"
"Mobility","37","66.07"
"Mood","37","66.07"
"Depression","32","57.14"
"Household chores","30","53.57"
"Anxiety","26","46.43"
"Concentration","26","46.43"
"Relationships with others","23","41.07"
"Self esteem","21","37.5"
"Sexual functioning","19","33.93"
"Memory","15","26.79"
"Personal care","15","26.79"
"Appetite","10","17.86"
