"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  913"
"response","count","percent_responded"
"Dry mouth","578","63.31"
"Changes in appetite","262","28.7"
"More or less talkative","259","28.37"
"Sleepiness/fatigue","255","27.93"
"Increased energy","235","25.74"
"Experienced no side effects","167","18.29"
"Memory problems","164","17.96"
"Feeling of being ""altered""","107","11.72"
"Paranoia","95","10.41"
"Difficultly concentrating","93","10.19"
"Changes in libido","86","9.42"
"Heart racing/palpitations","86","9.42"
"Tough to get started in the morning (lassitude)","68","7.45"
"Racing thoughts","67","7.34"
"Anxiety","66","7.23"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","65","7.12"
"Other (please specify)","43","4.71"
"Dizziness","36","3.94"
"Headache","30","3.29"
"Apathy","28","3.07"
"Sweating","21","2.3"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","18","1.97"
"Nausea","15","1.64"
"Depression","11","1.2"
