"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  284"
"response","count","percent_responded"
"Some college, no degree","102","35.92"
"Bachelor's degree","46","16.2"
"Associate's degree","42","14.79"
"High school degree or equivalent (GED)","37","13.03"
"Master's degree","32","11.27"
"Vocational degree","18","6.34"
"Professional degree (MD, JD, DDS, DVM)","4","1.41"
"Doctorate (Ph.D, Ed.D, etc)","2","0.7"
"Less than high school diploma","1","0.35"
