"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Smoke flower","226","79.58"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","173","60.92"
"Vape cartridges","148","52.11"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","117","41.2"
"Vape flower","87","30.63"
"Tinctures","80","28.17"
"Salves/topicals","59","20.77"
"Capsules","34","11.97"
"Transdermal patches","21","7.39"
"Suppositories","11","3.87"
"Other (please specify)","8","2.82"
