"q13","Where are the locations of your pain (please check all that apply)","n =  92"
"response","count","percent_responded"
"Lower back","71","77.17"
"Knee","50","54.35"
"Neck","49","53.26"
"Shoulder","43","46.74"
"General joint pain","40","43.48"
"Leg","39","42.39"
"Hips","37","40.22"
"Upper back","33","35.87"
"Hand","30","32.61"
"Foot","29","31.52"
"Generalized muscle pain","24","26.09"
"Wrist","23","25"
"Arm","20","21.74"
"Head/headache","16","17.39"
"Abdomen","12","13.04"
"Full body","12","13.04"
"Buttocks","11","11.96"
"Mouth/dental pain","11","11.96"
"Stomach","10","10.87"
"Chest","6","6.52"
"Face","5","5.43"
"Other (please specify)","4","4.35"
"Rectum","4","4.35"
"Genitalia","2","2.17"
