"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  32"
"response","count","percent_responded"
"Smoke flower","22","68.75"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","18","56.25"
"Vape cartridges","18","56.25"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","12","37.5"
"Tinctures","12","37.5"
"Salves/topicals","7","21.88"
"Vape flower","7","21.88"
"Capsules","5","15.62"
"Other (please specify)","3","9.38"
"Suppositories","1","3.12"
"Transdermal patches","1","3.12"
