"q7","How does cannabis help your daily life? (Please select all that apply)","n =  170"
"response","count","percent_responded"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","160","94.12"
"Generally helps with quality of life","150","88.24"
"Helps with physical symptoms (e.g. body pains, function, sensation)","131","77.06"
"Helps to reduce use of other prior medicines (non-opiates)","113","66.47"
"Helps to avoid starting other medicines (including opiates)","100","58.82"
"Helps to reduce use of alcohol","74","43.53"
"Helps to reduce use of opiates","54","31.76"
"Helps to reduce us of tobacco","42","24.71"
"Other (please specify)","8","4.71"
