"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  142"
"response","count","percent_responded"
"Different effects of different cannabinoids","97","68.31"
"Medical value of cannabis","75","52.82"
"Cannabis genetics","62","43.66"
"Cultivation and extraction","62","43.66"
"Cannabis and pharmaceutical drug interactions","41","28.87"
"Side effects of cannabis","41","28.87"
"Other (please specify)","5","3.52"
"Other (please list below)","4","2.82"
