"q7","How does cannabis help your daily life? (Please select all that apply)","n =  558"
"response","count","percent_responded"
"Helps with physical symptoms (e.g. body pains, function, sensation)","426","76.34"
"Generally helps with quality of life","391","70.07"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","379","67.92"
"Helps to avoid starting other medicines (including opiates)","181","32.44"
"Helps to reduce use of other prior medicines (non-opiates)","177","31.72"
"Helps to reduce use of alcohol","115","20.61"
"Helps to reduce use of opiates","115","20.61"
"Other (please specify)","38","6.81"
"Helps to reduce us of tobacco","34","6.09"
"Does not help my daily life","11","1.97"
