Q#33," On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?",,,,,
,,,,,Average,77.27860697
Response,Count,,,,,
2000,1,,,,,
1000,1,,,,,
800,1,,,,,
700,2,,,,,
600,1,,,,,
500,2,,,,,
400,3,,,,,
350,1,,,,,
300,5,,,,,
250,1,,,,,
200,5,,,,,
150,10,,,,,
140,1,,,,,
100,8,,,,,
80,2,,,,,
75,1,,,,,
60,2,,,,,
55,1,,,,,
50,6,,,,,
45,2,,,,,
44,1,,,,,
40,5,,,,,
35,2,,,,,
30,13,,,,,
25,3,,,,,
20,11,,,,,
15,1,,,,,
10,13,,,,,
9,1,,,,,
8,1,,,,,
7,2,,,,,
5,2,,,,,
4,1,,,,,
3,1,,,,,
1,1,,,,,
0,87,,,,,
