"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  151"
"response","count","percent_responded"
"Depression","137","90.73"
"Anxiety","123","81.46"
"Sleep","102","67.55"
"Pain","72","47.68"
"Attention/concentration","53","35.1"
"Headache","50","33.11"
"Appetite/weight","40","26.49"
"Inflammation","33","21.85"
"Nausea","33","21.85"
"Aggression","32","21.19"
"Spasms","17","11.26"
"Other (please specify)","10","6.62"
"Mainia/psychosis","6","3.97"
"Skin conditions","6","3.97"
"Respiratory","5","3.31"
"Drug withdrawl","4","2.65"
"Ocular pressure","3","1.99"
"Seizures","3","1.99"
