"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Dry mouth","66","67.35"
"Changes in appetite","41","41.84"
"Increased energy","34","34.69"
"Sleepiness/fatigue","33","33.67"
"More or less talkative","27","27.55"
"Memory problems","12","12.24"
"Changes in libido","11","11.22"
"Difficulty concentrating","11","11.22"
"Feeling of being ""altered""","10","10.2"
"Paranoia","10","10.2"
"Tough to get started in the morning (lassitude) or ""couch lock""","8","8.16"
"Heart racing/palpitations","7","7.14"
"Dizziness","5","5.1"
"Other (please specify)","5","5.1"
"Sweating","5","5.1"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","4","4.08"
"Anxiety","3","3.06"
"Apathy","3","3.06"
"Nausea","3","3.06"
"Depression","2","2.04"
"GI changes (constipation, diarrhea, abdominal discomfort)","2","2.04"
"Racing thoughts","2","2.04"
"Headache","1","1.02"
