"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  217  avg =  21.493"
"response","count","percent_responded"
"0","57","26.27"
"1","10","4.61"
"50","9","4.15"
"2","8","3.69"
"4","7","3.23"
"16","6","2.76"
"21","6","2.76"
"3","6","2.76"
"6","6","2.76"
"13","5","2.3"
"26","5","2.3"
"14","4","1.84"
"25","4","1.84"
"51","4","1.84"
"8","4","1.84"
"10","3","1.38"
"100","3","1.38"
"11","3","1.38"
"20","3","1.38"
"22","3","1.38"
"23","3","1.38"
"24","3","1.38"
"27","3","1.38"
"9","3","1.38"
"17","2","0.92"
"35","2","0.92"
"39","2","0.92"
"44","2","0.92"
"47","2","0.92"
"7","2","0.92"
"70","2","0.92"
"76","2","0.92"
"83","2","0.92"
"15","1","0.46"
"19","1","0.46"
"28","1","0.46"
"29","1","0.46"
"30","1","0.46"
"31","1","0.46"
"32","1","0.46"
"38","1","0.46"
"40","1","0.46"
"46","1","0.46"
"48","1","0.46"
"49","1","0.46"
"5","1","0.46"
"52","1","0.46"
"53","1","0.46"
"55","1","0.46"
"57","1","0.46"
"63","1","0.46"
"64","1","0.46"
"65","1","0.46"
"66","1","0.46"
"69","1","0.46"
"73","1","0.46"
"78","1","0.46"
"80","1","0.46"
"81","1","0.46"
"82","1","0.46"
"87","1","0.46"
"91","1","0.46"
"98","1","0.46"
"99","1","0.46"
