"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  78"
"response","count","percent_responded"
"Sleep","77","98.72"
"Anxiety","38","48.72"
"Pain","33","42.31"
"Inflammation","21","26.92"
"Depression","17","21.79"
"Headache","10","12.82"
"Nausea","7","8.97"
"Aggression","6","7.69"
"Appetite/weight","6","7.69"
"Attention/concentration","4","5.13"
"Other (please specify)","4","5.13"
"Ocular pressure","3","3.85"
"Skin conditions","2","2.56"
"Seizures","1","1.28"
"Spasms","1","1.28"
