"q14","What are the effects of your pain? (Please select all that apply)","n =  64"
"response","count","percent_responded"
"Physical activity","58","90.62"
"Enjoyment of life","55","85.94"
"Energy level","49","76.56"
"Sleep","47","73.44"
"Mobility","45","70.31"
"Household chores","43","67.19"
"Depression","41","64.06"
"Mood","40","62.5"
"Sexual functioning","39","60.94"
"Relationships with others","38","59.38"
"Concentration","35","54.69"
"Anxiety","32","50"
"Self esteem","26","40.62"
"Memory","23","35.94"
"Personal care","23","35.94"
"Appetite","17","26.56"
