"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Smoke flower","99","74.44"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","73","54.89"
"Vape cartridges","64","48.12"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","58","43.61"
"Vape flower","50","37.59"
"Tinctures","45","33.83"
"Salves/topicals","32","24.06"
"Capsules","24","18.05"
"Transdermal patches","13","9.77"
"Suppositories","10","7.52"
"Other (please specify)","9","6.77"
