"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  217"
"response","count","percent_responded"
"Chronic pain","171","78.8"
"Posttraumatic stress disorder (PTSD)","16","7.37"
"Arthritis","8","3.69"
"Depression","6","2.76"
"Anxiety","4","1.84"
"Insomnia","4","1.84"
"Substance abuse/addiction","3","1.38"
"Bipolar/manic depression","1","0.46"
"Cancer","1","0.46"
"Diabetes","1","0.46"
"Fibromyalgia/myositis","1","0.46"
"Hypertension","1","0.46"
